Symbol,Security Name
DIRL,DHANUKA INFRA REALTY LIMITED
DISHTV,DISH TV INDIA LIMITED
DIVINEHIRA,DIVINE HIRA JEWELLERS LIMITED
DPEL,DIVINE POWER ENERGY LIMITED
DPSCLTD,DPSC LIMITED
DRONE,DRONE DESTINATION LIMITED
DRSCARGO,DRS CARGO MOVERS LIMITED
DRSDILIP,DRS DILIP ROADLINES LIMITED
DSFCL,DCM SHRIRAM FINE CHEMICALS LIMITED
DUGLOBAL,DUDIGITAL GLOBAL LIMITED
DURLAX,DURLAX TOP SURFACE LIMITED
DYNAMIC,DYNAMIC SERVICES & SECURITY LIMITED
E2ERAIL,E TO E TRANSPORTATION INFRASTRUCTURE LIMITED
EASTSILK,EASTERN SILK INDUSTRIES LIMITED
EBGNG,GNG ELECTRONICS LIMITED
ECOLINE,ECOLINE EXIM LIMITED
EFFWA,EFFWA INFRA & RESEARCH LIMITED
EIFFL,EURO INDIA FRESH FOODS LIMITED
ELIQUID,EDELWEISS MUTUAL FUND - EDELWEISS NIFTY 1D RATE LIQUID ETF
EMAMIREAL,EMAMI REALTY LIMITED
EMPOWER,EMPOWER INDIA LTD.
ENSER,ENSER COMMUNICATIONS LIMITED
EPWINDIA,EPW INDIA LIMITED
EQUIPPP,EQUIPPP SOCIAL IMPACT TECHNOLOGIES LIMITED
ESCONET,ESCONET TECHNOLOGIES LIMITED
ESFL,ESSEN SPECIALITY FILMS LIMITED
ESSENTIA,INTEGRA ESSENTIA LIMITED
EUROTEXIND,EUROTEX INDUSTRIES AND EXPORTS LIMITED
FAZE3Q,FAZE THREE LIMITED
FELDVR,FUTURE ENTERPRISES LIMITED
FILATFASH,FILATEX FASHIONS LIMITED
FLEXITUFF,FLEXITUFF VENTURES INTERNATIONAL LIMITED
FMNL,FUTURE MARKET NETWORKS LIMITED
FOCE,FOCE INDIA LIMITED
FONEBOX,FONEBOX RETAIL LIMITED
FORGEAUTO,FORGE AUTO INTERNATIONAL LIMITED
FROG,FROG INNOVATIONS LIMITED
GANESHIN,GANESH INFRAWORLD LIMITED
GANGAFORGE,GANGA FORGING LIMITED
GAUDIUMIVF,GAUDIUM IVF AND WOMEN HEALTH LIMITED
GCHOTELS,GRAND CONTINENT HOTELS LIMITED
GEECEE,GEECEE VENTURES LIMITED
GICL,GLOBE INTERNATIONAL CARRIERS LIMITED
GILT10BETA,UTI MUTUAL FUND - UTI NIFTY 10 YR BENCHMARK G-SEC ETF
GILT5BETA,UTI MUTUAL FUND - UTI NIFTY 5 YR BENCHMARK G-SEC ETF
GILT5YBEES,NIPPON INDIA ETF NIFTY 5 YR BENCHMARK GSEC
GINNIFILA,GINNI FILAMENTS LIMITED
GJL,GROVER JEWELLS LIMITED
GLOBALE,GLOBALE TESSILE LIMITED
GLOBALPET,GLOBAL PET INDUSTRIES LIMITED
GLOTTIS,GLOTTIS LIMITED
GML,GALAXY MEDICARE LIMITED
GOLDENTOBC,GOLDEN TOBACCO LIMITED
GOLDKART,GOLDKART JEWELS LIMITED
GOLDSTAR,GOLDSTAR POWER LIMITED
GOLDTECH,AION-TECH SOLUTIONS LIMITED
GPECO,GP ECO SOLUTIONS INDIA LIMITED
GRADIENTE,GRADIENTE INFOTAINMENT LIMITED
GRANDOAK,GRAND OAK CANYONS DISTILLERY LIMITED
GRAPHISAD,GRAPHISADS LIMITED
GREENCHEF,GREENCHEF APPLIANCES LIMITED
GREENLEAF,GREENLEAF ENVIROTECH LIMITED
GRETEX,GRETEX INDUSTRIES LIMITED
GROWWLIQID,GROWW MUTUAL FUND - GROWW NIFTY 1D RATE LIQUID ETF
GSEC10IETF,ICICI PRU MUTUAL FUND-ICICI PRUDENTIAL NIFTY 10 YR BENCHMARK G-SEC ETF
GSEC10YEAR,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY 8-13 YR G-SEC ETF
GSEC5IETF,ICICI PRUDENTIAL NIFTY 5 YR BENCHMARK G-SEC ETF
GSS,GSS INFOTECH LIMITED
GSTL,GLOBESECURE TECHNOLOGIES LIMITED
GUJRAFFIA,GUJARAT RAFFIA INDUSTRIES LIMITED
GULFPETRO,GP PETROLEUMS LIMITED
GURUNANAK,GURUNANAK AGRICULTURE INDIA LIMITED
HALDYNGL,HALDYN GLASS LIMITED
HBSL,HB STOCKHOLDINGS LIMITED
HDFCLIQUID,HDFC NIFTY 1D RATE LIQUID ETF - GROWTH
HDIL,HOUSING DEVELOPMENT AND INFRASTRUCTURE LIMITED
HILINFRA,HIGHWAY INFRASTRUCTURE LIMITED
HILTON,HILTON METAL FORGING LIMITED
HINDCON,HINDCON CHEMICALS LIMITED
HITECHCORP,HITECH CORPORATION LIMITED
HITECHGEAR,THE HI-TECH GEARS LIMITED
HMT,HMT LIMITED
HOACFOODS,HOAC FOODS INDIA LIMITED
HOLMARC,HOLMARC OPTO-MECHATRONICS LIMITED
HOMESFY,HOMESFY REALTY LIMITED
HPTL,HP TELECOM INDIA LIMITED
HRHNEXT,HRH NEXT SERVICES LIMITED
HVAX,HVAX TECHNOLOGIES LIMITED
HYBRIDFIN,HYBRID FINANCIAL SERVICES LIMITED
IBLFL,IBL FINANCE LIMITED
ICELCO,IC ELECTRICALS COMPANY LIMITED
IDENTICAL,IDENTICAL BRAINS STUDIOS LIMITED
IEML,INDIAN EMULSIFIERS LIMITED
IFBAGRO,IFB AGRO INDUSTRIES LIMITED
ILFSENGG,IL&FS ENGINEERING AND CONSTRUCTION COMPANY LIMITED
ILFSTRANS,IL&FS TRANSPORTATION NETWORKS LIMITED
INDIFRA,INDIFRA LIMITED
INDOTECH,INDO TECH TRANSFORMERS LIMITED
INFINIUM,INFINIUM PHARMACHEM LIMITED
INSPIRE,INSPIRE FILMS LIMITED
INSPIRISYS,INSPIRISYS SOLUTIONS LIMITED
INTEGRITY,INTEGRITY INFRABUILD DEVELOPERS LIMITED
INVICTA,INVICTA DIAGNOSTIC LIMITED
ISHAN,ISHAN INTERNATIONAL LIMITED
IVP,IVP LIMITED
IWARE,IWARE SUPPLYCHAIN SERVICES LIMITED
JAINAM,JAINAM FERRO ALLOYS (I) LIMITED
JAKHARIA,JAKHARIA FABRIC LIMITED
JALAN,JALAN TRANSOLUTIONS (INDIA) LIMITED
JAYBARMARU,JAY BHARAT MARUTI LIMITED
JAYBEE,JAY BEE LAMINATIONS LIMITED
JETKNIT,JET KNITWEARS LIMITED
JEYYAM,JEYYAM GLOBAL FOODS LIMITED
JFLLIFE,JFL LIFE SCIENCES LIMITED
JKIPL,JINKUSHAL INDUSTRIES LIMITED
JOCIL,JOCIL LIMITED
JYOTIGLOBL,JYOTI GLOBAL PLAST LIMITED
K2INFRA,K2 INFRAGEN LIMITED
KAKATCEM,KAKATIYA CEMENT SUGAR & INDUSTRIES LIMITED
KALYANI,KALYANI COMMERCIALS LIMITED
KANCHI,KANCHI KARPOORAM LIMITED
KANORICHEM,KANORIA CHEMICALS & INDUSTRIES LIMITED
KAUSHALYA,KAUSHALYA INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED
KCEIL,KAY CEE ENERGY & INFRA LIMITED
KDL,KORE DIGITAL LIMITED
KHAICHEM,KHAITAN CHEMICALS & FERTILIZERS LIMITED
KHAITANLTD,KHAITAN (INDIA) LIMITED
KKVAPOW,KKV AGRO POWERS LIMITED
KONSTELEC,KONSTELEC ENGINEERS LIMITED
KOTYARK,KOTYARK INDUSTRIES LIMITED
KRIDHANINF,KRIDHAN INFRA LIMITED
KRITINUT,KRITI NUTRIENTS LIMITED
KRMAYURVED,KRM AYURVEDA LIMITED
KSHITIJPOL,KSHITIJ POLYLINE LIMITED
KSR,KSR FOOTWEAR LIMITED
LAKPRE,LAKSHMI PRECISION SCREWS LIMITED
LAKSHYA,LAKSHYA POWERTECH LIMITED
LAMOSAIC,LAMOSAIC INDIA LIMITED
LATTEYS,LATTEYS INDUSTRIES LIMITED
LAXMIINDIA,LAXMI INDIA FINANCE LIMITED
LCCINFOTEC,LCC INFOTECH LIMITED
LEMERITE,LE MERITE EXPORTS LIMITED
LICNETFGSC,LIC MF - LIC MF G-SEC LT ETF - GO
LIKHITHA,LIKHITHA INFRASTRUCTURE LIMITED
LIQGRWBEES,NIPPON INDIA MUTUAL FUND-NIPPON INDIA NIFTY 1D RATE LIQUID ETF-GROWTH
LIQUID,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY 1D RATE LIQUID ETF
LIQUID1,KOTAK MAHINDRA MUTUAL FUND - KOTAK NIFTY 1D RATE LIQUID ETF
LIQUIDADD,DSP BSE LIQUID RATE ETF
LIQUIDBEES,NIPPON INDIA ETF NIFTY 1D RATE LIQUID BEES
LIQUIDBETF,BAJAJ FINSERV NIFTY 1D RATE LIQUID ETF-GROWTH
LIQUIDCASE,ZERODHA FUND HOUSE - ZERODHA NIFTY 1D RATE LIQUID ETF
LIQUIDETF,DSP NIFTY 1D RATE LIQUID ETF
LIQUIDIETF,ICICI PRUDENTIAL BSE LIQUID RATE ETF- IDCW
LIQUIDPLUS,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY 1D RATE LIQUID ETF-GROWTH
LIQUIDSBI,SBI MUTUAL FUND - SBI NIFTY 1D RATE ETF
LIQUIDSHRI,SHRIRAM MUTUAL FUND -SHRIRAM NIFTY 1D RATE LIQUID ETF
LLOYDS,LLOYDS LUXURIES LIMITED
LTGILTBEES,NIPPON INDIA ETF NIFTY 8-13 YR G-SEC LONG TERM GILT
LTGILTCASE,ZERODHA FUND HOUSE - ZERODHA NIFTY 8-13 YR G-SEC ETF
LYKALABS,LYKA LABS LIMITED
MADHUCON,MADHUCON PROJECTS LIMITED
MADHUSUDAN,MADHUSUDAN MASALA LIMITED
MAGSON,MAGSON RETAIL AND DISTRIBUTION LIMITED
MAHASTEEL,MAHAMAYA STEEL INDUSTRIES LIMITED
MAHESHWARI,MAHESHWARI LOGISTICS LIMITED
MAKS,MAKS ENERGY SOLUTIONS INDIA LIMITED
MAL,MANGALAM ALLOYS LIMITED
MANAKSTEEL,MANAKSIA STEELS LIMITED
MANAV,MANAV INFRA PROJECTS LIMITED
MANDEEP,MANDEEP AUTO INDUSTRIES LIMITED
MANGALAM,MANGALAM DRUGS AND ORGANICS LIMITED
MANORG,MANGALAM ORGANICS LIMITED
MANUGRAPH,MANUGRAPH INDIA LIMITED
MARALOVER,MARAL OVERSEAS LIMITED
MARC,MARC TECHNOCRATS LIMITED
MARINETRAN,MARINETRANS INDIA LIMITED
MASKINVEST,MASK INVESTMENTS LIMITED
MASTER,MASTER COMPONENTS LIMITED
MAWANASUG,MAWANA SUGARS LIMITED
MAXVOLT,MAXVOLT ENERGY INDUSTRIES LIMITED
MCLEODRUSS,MCLEOD RUSSEL INDIA LIMITED
MCON,MCON RASAYAN INDIA LIMITED
MDL,MARVEL DECOR LIMITED
MEDIORG,MEDICAMEN ORGANICS LIMITED
MEGAFLEX,MEGA FLEX PLASTICS LIMITED
MEIL,MANGAL ELECTRICAL INDUSTRIES LIMITED
MERCURYEV,MERCURY EV-TECH LIMITED
MGEL,MANGALAM GLOBAL ENTERPRISE LIMITED
MHHL,MOHINI HEALTH & HYGIENE LIMITED
MHLXMIRU,MAHALAXMI RUBTECH LIMITED
MICEL,MIC ELECTRONICS LIMITED
MIEL,MANGLAM INFRA & ENGINEERING LIMITED
MILTON,MILTON INDUSTRIES LIMITED
MINDPOOL,MINDPOOL TECHNOLOGIES LIMITED
MITCON,MITCON CONSULTANCY & ENGINEERING SERVICES LIMITED
MMEL,MOVING MEDIA ENTERTAINMENT LIMITED
MMWL,MEDIA MATRIX WORLDWIDE LIMITED
MOBILISE,MOBILISE APP LAB LIMITED
MOGSEC,MOTILAL OSWAL MUTUAL FUND - MOTILAL OSWAL 5 YEAR G SEC ETF - GROWTH
MONOPHARMA,MONO PHARMACARE LIMITED
MORARJEE,MORARJEE TEXTILES LIMITED
MOS,MOS UTILITY LIMITED
MOTOGENFIN,THE MOTOR & GENERAL FINANCE LIMITED
MOXSH,MOXSH OVERSEAS EDUCON LIMITED
MPEL,MANAS POLYMERS AND ENERGIES LIMITED
MPTODAY,MADHYA PRADESH TODAY MEDIA LIMITED
MRIL,MAHENDRA REALTORS & INFRASTRUCTURE LIMITED
MSPL,MSP STEEL & POWER LIMITED
MUKTAARTS,MUKTA ARTS LIMITED
MUNISH,MUNISH FORGE LIMITED
NAGREEKCAP,NAGREEKA CAPITAL & INFRASTRUCTURE LIMITED
NAHARSPING,NAHAR SPINNING MILLS LIMITED
NAMAN,NAMAN INDUSTRIES PROXIMA LIMITED
NATIONSTD,NATIONAL STANDARD (INDIA) LIMITED
NAVKARURB,NAVKAR URBANSTRUCTURE LIMITED
NEAGI,NEELAMALAI AGRO INDUSTRIES LIMITED
NECCLTD,NORTH EASTERN CARRYING CORPORATION LIMITED
NECLIFE,NECTAR LIFESCIENCES LIMITED
NEELAM,NEELAM LINENS AND GARMENTS (INDIA) LIMITED
NEOCHEM,NEOCHEM BIO SOLUTIONS LIMITED
NEPHROCARE,NEPHRO CARE INDIA LIMITED
NEUEON,NEUEON CORPORATION LIMITED
NFPSAMPOOR,NFP SAMPOORNA FOODS LIMITED
NIKITA,NIKITA GREENTECH RECYCLING LIMITED
NIMBSPROJ,NIMBUS PROJECTS LIMITED
NIRAJ,NIRAJ CEMENT STRUCTURALS LIMITED
NORBTEAEXP,NORBEN TEA & EXPORTS LIMITED
NOVAAGRI,NOVA AGRITECH LIMITED
NRL,NUPUR RECYCLERS LIMITED
NRVANDANA,N R VANDANA TEX INDUSTRIES LIMITED
ODIGMA,ODIGMA CONSULTANCY SOLUTIONS LIMITED
OILCOUNTUB,OIL COUNTRY TUBULAR LIMITED
OLIL,ONECLICK LOGISTICS INDIA LIMITED
OMAXAUTO,OMAX AUTOS LIMITED
OMFREIGHT,OM FREIGHT FORWARDERS LIMITED
OMFURN,OMFURN INDIA LIMITED
ONDOOR,ON DOOR CONCEPTS LIMITED
ONELIFECAP,ONELIFE CAPITAL ADVISORS LIMITED
ONIDA,ONIDA ELECTRONICS LIMITED
ONYX,ONYX BIOTEC LIMITED
ORBTEXP,ORBIT EXPORTS LIMITED
ORTINGLOBE,ORTIN GLOBAL LIMITED
OSIAHYPER,OSIA HYPER RETAIL LIMITED
OSWALAGRO,OSWAL AGRO MILLS LIMITED
OWAIS,OWAIS METAL AND MINERAL PROCESSING LIMITED
PARAMOUNT,PARAMOUNT DYE TEC LIMITED
PARAMPARA,PARAMPARA DAIRY DELIGHTS LIMITED
PARTH,PARTH ELECTRICALS & ENGINEERING LIMITED
PASUPTAC,PASUPATI ACRYLON LIMITED
PATILAUTOM,PATIL AUTOMATION LIMITED
PATTECH,PATTECH FITWELL TUBE COMPONENTS LIMITED
PAVNAIND,PAVNA INDUSTRIES LIMITED
PEARLPOLY,PEARL POLYMERS LIMITED
PERFECT,PERFECT INFRAENGINEERS LIMITED
PILITA,PIL ITALICA LIFESTYLE LIMITED
PLADAINFO,PLADA INFOTECH SERVICES LIMITED
PLAZACABLE,PLAZA WIRES LIMITED
POSITRON,POSITRON ENERGY LIMITED
POWERICA,POWERICA LIMITED
PPL,PRAKASH PIPES LIMITED
PPSL,PICTUREPOST STUDIOS LIMITED
PRADPME,PRADEEP METALS LIMITED
PRAMARA,PRAMARA PROMOTIONS LIMITED
PRAXIS,PRAXIS HOME RETAIL LIMITED
PRECISION,PRECISION METALIKS LIMITED
PRECOT,PRECOT LIMITED
PREMIER,PREMIER LIMITED
PRIMECAB,PRIME CABLE INDUSTRIES LIMITED
PRITI,PRITI INTERNATIONAL LIMITED
PROLIFE,PROLIFE INDUSTRIES LIMITED
PRUDMOULI,PRUDENTIAL SUGAR CORPORATION LIMITED
PSRAJ,P S RAJ STEELS LIMITED
PULZ,PULZ ELECTRONICS LIMITED
PURPLEUTED,PURPLE UNITED SALES LIMITED
PURVFLEXI,PURV FLEXIPACK LIMITED
QFIL,QUALITY FOILS (INDIA) LIMITED
QUADPRO,QUADPRO ITES LIMITED
QUICKTOUCH,QUICKTOUCH TECHNOLOGIES LIMITED
QVCEL,QVC EXPORTS LIMITED
RACE,RACE ECO CHAIN LIMITED
RADIOWALLA,RADIOWALLA NETWORK LIMITED
RAJESHEXPO,RAJESH EXPORTS LIMITED
RAJTV,RAJ TELEVISION NETWORK LIMITED
RAMBHAJO,ADVIT JEWELS LIMITED
RBS,RAMDEVBABA SOLVENT LIMITED
RCOM,RELIANCE COMMUNICATIONS LIMITED
REFRACTORY,REFRACTORY SHAPES LIMITED
REGAAL,REGAAL RESOURCES LIMITED
REPL,RUDRABHISHEK ENTERPRISES LIMITED
REXPIPES,REX PIPES AND CABLES INDUSTRIES LIMITED
REXPRO,REXPRO ENTERPRISES LIMITED
RFBL,RFBL FLEXI PACK LIMITED
RHFL,RELIANCE HOME FINANCE LIMITED
RICHA,RICHA INFO SYSTEMS LIMITED
RITEZONE,RITE ZONE CHEMCON INDIA LIMITED
RMDRIP,R M DRIP AND SPRINKLERS SYSTEMS LIMITED
RNBDENIMS,R&B DENIMS LIMITED
RNPL,RENOL POLYCHEM LIMITED
ROLLT,ROLLATAINERS LIMITED
ROXHITECH,ROX HI TECH LIMITED
RPSGVENT,RPSG VENTURES LIMITED
RUBYMILLS,THE RUBY MILLS LIMITED
RUDRA,RUDRA GLOBAL INFRA PRODUCTS LIMITED
SSPOWER,S&S POWER SWITCHGEARS LIMITED
SAAKSHI,SAAKSHI MEDTECH AND PANELS LIMITED
SABAR,SABAR FLEX INDIA LIMITED
SABEVENTS,SAB EVENTS & GOVERNANCE NOW MEDIA LIMITED
SAIFL,SAMEERA AGRO AND INFRA LIMITED
SAKUMA,SAKUMA EXPORTS LIMITED
SALSTEEL,S.A.L. STEEL LIMITED
SAMAY,SAMAY PROJECT SERVICES LIMITED
SANGANI,SANGANI HOSPITALS LIMITED
SAROJA,SAROJA PHARMA INDUSTRIES INDIA LIMITED
SASKEN,SASKEN TECHNOLOGIES LIMITED
SATECH,S A TECH SOFTWARE INDIA LIMITED
SATIPOLY,SATI POLY PLAST LIMITED
SATKARTAR,SAT KARTAR LIFE LIMITED
SAYAJIHOTL,SAYAJI HOTELS LIMITED
SBILIQETF,SBI MUTUAL FUND - SBI NIFTY 1D RATE LIQUID ETF - GROWTH
SEL,SUNGARNER ENERGIES LIMITED
SEMAC,SEMAC CONSTRUCTION LIMITED
SERVICE,SERVICE CARE LIMITED
SETF10GILT,SBI MUTUAL FUND - SBI-ETF 10 YEAR GILT
SETUINFRA,SETUBANDHAN INFRASTRUCTURE LIMITED
SHAIVAL,SHAIVAL REALITY LIMITED
SHEEL,SHEEL BIOTECH LIMITED
SHEKHAWATI,SHEKHAWATI INDUSTRIES LIMITED
SHERA,SHERA ENERGY LIMITED
